Label,cssSelector,tagName,group,relation,extraInfo,returnValue,teacherAppLangEN,studentAppLangEN,teacherAppLangES
pageTitle,[data-tid=text-pageTitle],h1,dashboardPage,,,,"""Dashboard""","""Dashboard""","""DashboardES"""
createPlaylistBtn,[data-tid=button-CreatePlaylist],button,dashboardPage,,,createPlaylistDialog,"""Create Playlist""","""Create Playlist""","""Create PlaylistES"""
addBookBtn,[data-tid=button-addBook],button,dashboardPage,,,addBook.page,"""Add Book""","""Add Book""","""Add Book"""
cardSliderTitle,[data-tid=text-cardSliderTitle],p,dashboardPage,,,,"""Getting started""","""Getting started""","""Getting started"""
cardSliderSubtitle,[data-tid=text-cardSliderSubtitle],p,dashboardPage,,,,"""Use your dashboard to pin your textbooks and create playlists to share with your class.""",,"""Use your dashboard to pin your textbooks and create playlists to share with your class."""
cardSliderLeftBtn,[data-tid=button-cardSliderLeft],button,dashboardPage,,,,,,
cardSliderRightBtn,[data-tid=button-cardSliderRight],button,dashboardPage,,,,,,
actionCardTitles,[data-tid*=text-actionCardTitle-,p,actionCards,parent,pattern,,"[""Adding Books"", ""Using Classes"",""Using Playlists""]","[""Adding Books"", ""Using Classes"",""Using Playlists""]","[""Adding Books"", ""Using Classes"",""Using Playlists""]"
actionCardSubtitles,[data-tid*=text-actionCardSubtitle-,p,actionCards,,pattern,,"[""Save your class books to your dashboard to quickly access your book materials."",""Create a class to see student progress, view submitted work and create assignments."",""Any playlists you create will be added here for you to view, share, and use in your classes.""]","[""Save your class books to your dashboard to quickly access your book materials."",""Join a class to see progress and assignments of your class."",""Any playlists you create will be added here for you to view.""]","[""Save your class books to your dashboard to quickly access your book materials."",""Create a class to see student progress, view submitted work and create assignments."",""Any playlists you create will be added here for you to view, share, and use in your classes.""]"
actionCardBtns,[data-tid*=button-actionCardBtn-,button,actionCards,,pattern,,"[""Add Book"", ""Create Class"",""Create Playlist""]","[""Add Book"", ""Join Class"",""Create Playlist""]","[""Add Book"", ""Create Class"",""Create Playlist""]"
myBooksHeading,[data-tid=text-myBooks],h2,dashboardPage,,,,"""My Books""","""My Books""","""My Books"""
noBooksTitle,[data-tid=text-title-noBookAdded],p,dashboardPage,,,,"""No Books added yet""","""No Books added yet""","""No Books added yet"""
noBooksSubtitle,[data-tid=text-subtitle-noBookAdded],p,dashboardPage,,,,"""Any books you save while browsing the catalog will be added here for you to view later.""","""Any books you save while browsing the catalog will be added here for you to view later.""","""Any books you save while browsing the catalog will be added here for you to view later."""
noBooks_addBookBtn,[data-tid=button-noBookAdded],button,dashboardPage,,,addBook.page,"""Add Book""","""Add Book""","""Add Book"""
myPlaylistsHeading,[data-tid=text-playlist],h2,dashboardPage,,,,"""My Playlists""","""My Playlists""","""My Playlists"""
noPlaylistsTitle,[data-tid=text-title-noPlaylist],p,dashboardPage,,,,"""No Playlist created yet""","""No Playlist created yet""","""No Playlist created yet"""
noPlaylistsSubTitle,[data-tid=text-subtitle-noPlaylist],p,dashboardPage,,,,"""Any playlists you create will be added here for you to view, share, and use in your classes.""","""Any playlists you create will be added here for you to view, share, and use in your classes.""","""Any playlists you create will be added here for you to view, share, and use in your classes."""
noPlaylists_createBtn,[data-tid=button-noPlaylist],button,dashboardPage,,,createPlaylistDialog,"""Create Playlist""","""Create Playlist""","""Create Playlist"""
playlistTitle,[data-tid*=text-playlistTitle-,button,playlist,parent,pattern,playlist.page,,,
playlistSubtitle,[data-tid*=text-playlistSubtitle-,p,playlist,,pattern,,,,
bookTitle,[data-tid*=text-bookTitle-,p,books,parent,pattern,,,,
bookSubtitle,[data-tid*=text-bookSubtitle-,p,books,,pattern,,,,
bookMenuBtn,[data-tid*=button-contextMenu-,button,books,,pattern,bookMenu,,,
viewBookBtn,[data-tid*=button-view-,button,books,,pattern,viewBook.page,"""View""","""View""","""View"""
bookCover,[data-tid*=img-bookCover-,button,books,,pattern,viewBook.page,,,
bookMenu_viewClassOption,[data-tid*=button-viewClass],button,bookMenu,,,classDrawer.page,"""View Classes""","""View Classes""","""View Classes"""
bookMenu_createClassOption,[data-tid*=button-createClass],button,bookMenu,,,createClass.page,"""Create New Class""","""Create New Class""","""Create New Class"""
bookMenu_removeOption,[data-tid*=button-remove],button,bookMenu,,,removeBookDialog,"""Remove from My Books""","""Remove from My Books""","""Remove from My Books"""
bookMenu_openFlipbookOption,[data-tid*=button-openFlipbook],button,bookMenu,,,flipbook.page,"""Open Flipbook""","""Open Flipbook""","""Open Flipbook"""
removeBook_title,[data-tid=text-title-removeBook],p,removeBookDialog,,,,"""Remove from My Books?""","""Remove from My Books?""","""Remove from My Books?"""
removeBook_subTitle,[data-tid=text-subTitle-removeBook],p,removeBookDialog,,,,"""This will remove the book - Quality Test Book 8 - from your My Books list.""","""This will remove the book - Quality Test Book 8 - from your My Books list.""","""This will remove the book - Quality Test Book 8 - from your My Books list."""
removeBook_cancelBtn,[data-tid=button-secondary-removeBook],button,removeBookDialog,,,"waitForDisplayed, removeBook_cancelBtn, undefined, true","""Cancel""","""Cancel""","""Cancel"""
removeBook_removeBtn,[data-tid=button-primary-removeBook],button,removeBookDialog,,,books,"""Remove""","""Remove""","""Remove"""
createPlaylist_label,[data-tid=text-createPlaylistLabel],label,createPlaylistDialog,,,,"""Playlist Name""","""Playlist Name""","""Playlist Name"""
createPlaylist_input,[id=input-createPlaylist],input,createPlaylistDialog,,,,"""Add name""","""Add name""","""Add name"""
createPlaylist_cancelBtn,[data-tid=button-cancelCreatePlaylist],button,createPlaylistDialog,,,"waitForDisplayed, createPlaylist_cancelBtn, undefined, true","""Cancel""","""Cancel""","""Cancel"""
createPlaylist_createBtn,[data-tid=button-createPlaylist],button,createPlaylistDialog,,,playlist,"""Create""","""Create""","""Create"""
exploreHeading,[data-tid=text-explore],p,dashboardPage,,,,"""Explore""","""Explore""","""Explore"""
viewAllBtn,[data-tid=btn-label-viewall],button,dashboardPage,,,browse.page,"""View All""","""View All""","""View All"""
resourceTitle,[data-tid*=item-globalresource] p:nth-child(1),button,resources,condition,pattern,browse.page,"[""Interactive Activities"",""Videos"",""Online Classes"",""Teacher Training"",""Today in Class"",""Projectables""]","[""Interactive Activities"",""Videos"",""Online Classes"",""Teacher Training"",""Today in Class"",""Projectables""]","[""Interactive Activities"",""Videos"",""Online Classes"",""Teacher Training"",""Today in Class"",""Projectables""]"
resourceSubtitle,[data-tid*=item-globalresource] p:nth-child(2),p,resources,,pattern,,,,
recentlyViewedHeading,[data-tid=text-recentActivitiesTitle],h2,dashboardPage,,,,"""Recently Viewed""","""Recently Viewed""","""Recently Viewed"""
recentlyViewed_activities,[data-tid*=text-name-recent-,button,recentlyViewedList,,pattern,,,,
